GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_AES	1992	1943656.25	.	0.0
Oahu_Airport_DSG	2013	557448.223719	.	0.0
Oahu_Battery_Bulk	2025	754447.248526	283.250417699	8523.720625
Oahu_Battery_Bulk	2045	534594.121315	227.111484281	6846.923125
Oahu_Battery_Conting	2025	903242.233574	0.0	8523.720625
Oahu_Battery_Conting	2045	653898.622902	0.0	6846.923125
Oahu_Battery_Reg	2025	1052037.21862	0.0	8523.720625
Oahu_Battery_Reg	2045	773203.124488	0.0	6846.923125
Oahu_CC_152	2025	1663401.61402	.	18165.30625
Oahu_CC_152	2045	1587596.49867	.	18165.30625
Oahu_CIP_CT	2009	557448.223719	.	0.0
Oahu_CentralTrackingPV_PV_01	2016	3063522.89497	.	14741.7179872
Oahu_CentralTrackingPV_PV_01	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_01	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_02	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_02	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_03	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_03	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_04	2012	3063522.89497	.	0.0
Oahu_CentralTrackingPV_PV_04	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_04	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_05	2018	1834408.19479	.	9667.69966788
Oahu_CentralTrackingPV_PV_05	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_05	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_06	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_06	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_07	2018	1834408.19479	.	9667.69966788
Oahu_CentralTrackingPV_PV_07	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_07	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_08	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_08	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_09	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_09	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_10	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_10	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_11	2018	1834408.19479	.	9667.69966788
Oahu_CentralTrackingPV_PV_11	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_11	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_12	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_12	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_13	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_13	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_14	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_14	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_15	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_15	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_16	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_16	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_17	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_17	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_18	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_18	2045	1222668.68544	.	6219.7
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2016	4420723.96317	.	18843.312592
Oahu_FlatDistPV_Oahu_FlatDistPV_0	2025	2298314.33542	.	10090.7277406
