LOAD_ZONE	VEHICLE_TYPE	BID_NUM	TIMEPOINT	ev_bid_by_type
Oahu	All_Diesel_Vehicles	0	250700	45.5454931394
Oahu	All_Diesel_Vehicles	0	250704	2.80185087673
Oahu	All_Diesel_Vehicles	0	250708	3.97958782107
Oahu	All_Diesel_Vehicles	0	250712	3.97958782107
Oahu	All_Diesel_Vehicles	0	250716	31.9718378211
Oahu	All_Diesel_Vehicles	0	250720	75.1396299202
Oahu	All_Diesel_Vehicles	0	450700	45.5454931394
Oahu	All_Diesel_Vehicles	0	450704	2.80185087673
Oahu	All_Diesel_Vehicles	0	450708	3.97958782107
Oahu	All_Diesel_Vehicles	0	450712	3.97958782107
Oahu	All_Diesel_Vehicles	0	450716	31.9718378211
Oahu	All_Diesel_Vehicles	0	450720	75.1396299202
Oahu	All_Diesel_Vehicles	1	250700	97.7486810274
Oahu	All_Diesel_Vehicles	1	250704	2.80185087673
Oahu	All_Diesel_Vehicles	1	250708	3.97958782107
Oahu	All_Diesel_Vehicles	1	250712	3.97958782107
Oahu	All_Diesel_Vehicles	1	250716	3.97958782107
Oahu	All_Diesel_Vehicles	1	250720	50.9286920322
Oahu	All_Diesel_Vehicles	1	450700	97.7486810274
Oahu	All_Diesel_Vehicles	1	450704	2.80185087673
Oahu	All_Diesel_Vehicles	1	450708	3.97958782107
Oahu	All_Diesel_Vehicles	1	450712	3.97958782107
Oahu	All_Diesel_Vehicles	1	450716	3.97958782107
Oahu	All_Diesel_Vehicles	1	450720	50.9286920322
Oahu	All_Diesel_Vehicles	2	250700	79.0661158873
Oahu	All_Diesel_Vehicles	2	250704	64.7308844243
Oahu	All_Diesel_Vehicles	2	250708	3.97958782107
Oahu	All_Diesel_Vehicles	2	250712	3.97958782107
Oahu	All_Diesel_Vehicles	2	250716	3.97958782107
Oahu	All_Diesel_Vehicles	2	250720	7.68222362472
Oahu	All_Diesel_Vehicles	2	450700	79.0661158873
Oahu	All_Diesel_Vehicles	2	450704	64.7308844243
Oahu	All_Diesel_Vehicles	2	450708	3.97958782107
Oahu	All_Diesel_Vehicles	2	450712	3.97958782107
Oahu	All_Diesel_Vehicles	2	450716	3.97958782107
Oahu	All_Diesel_Vehicles	2	450720	7.68222362472
Oahu	All_Diesel_Vehicles	3	250700	55.6862956015
Oahu	All_Diesel_Vehicles	3	250704	64.7308844243
Oahu	All_Diesel_Vehicles	3	250708	5.05958782107
Oahu	All_Diesel_Vehicles	3	250712	3.97958782107
Oahu	All_Diesel_Vehicles	3	250716	31.9718378211
Oahu	All_Diesel_Vehicles	3	250720	1.98979391054
Oahu	All_Diesel_Vehicles	3	450700	55.6862956015
Oahu	All_Diesel_Vehicles	3	450704	64.7308844243
Oahu	All_Diesel_Vehicles	3	450708	5.05958782107
Oahu	All_Diesel_Vehicles	3	450712	3.97958782107
Oahu	All_Diesel_Vehicles	3	450716	31.9718378211
Oahu	All_Diesel_Vehicles	3	450720	1.98979391054
Oahu	All_Diesel_Vehicles	4	250700	3.83066800485
Oahu	All_Diesel_Vehicles	4	250704	43.4366760112
Oahu	All_Diesel_Vehicles	4	250708	5.05958782107
Oahu	All_Diesel_Vehicles	4	250712	3.97958782107
Oahu	All_Diesel_Vehicles	4	250716	31.9718378211
Oahu	All_Diesel_Vehicles	4	250720	75.1396299202
Oahu	All_Diesel_Vehicles	4	450700	3.83066800485
Oahu	All_Diesel_Vehicles	4	450704	43.4366760112
Oahu	All_Diesel_Vehicles	4	450708	5.05958782107
Oahu	All_Diesel_Vehicles	4	450712	3.97958782107
Oahu	All_Diesel_Vehicles	4	450716	31.9718378211
Oahu	All_Diesel_Vehicles	4	450720	75.1396299202
Oahu	All_Diesel_Vehicles	5	250700	45.5454931394
Oahu	All_Diesel_Vehicles	5	250704	2.63679165853
Oahu	All_Diesel_Vehicles	5	250708	4.14464703927
Oahu	All_Diesel_Vehicles	5	250712	3.97958782107
Oahu	All_Diesel_Vehicles	5	250716	31.9718378211
Oahu	All_Diesel_Vehicles	5	250720	75.1396299202
Oahu	All_Diesel_Vehicles	5	450700	45.5454931394
Oahu	All_Diesel_Vehicles	5	450704	2.63679165853
Oahu	All_Diesel_Vehicles	5	450708	4.14464703927
Oahu	All_Diesel_Vehicles	5	450712	3.97958782107
Oahu	All_Diesel_Vehicles	5	450716	31.9718378211
Oahu	All_Diesel_Vehicles	5	450720	75.1396299202
Oahu	All_Diesel_Vehicles	6	250700	45.5454931394
Oahu	All_Diesel_Vehicles	6	250704	2.80185087673
Oahu	All_Diesel_Vehicles	6	250708	3.97958782107
Oahu	All_Diesel_Vehicles	6	250712	3.97958782107
Oahu	All_Diesel_Vehicles	6	250716	24.7990833171
Oahu	All_Diesel_Vehicles	6	250720	82.3123844243
Oahu	All_Diesel_Vehicles	6	450700	45.5454931394
Oahu	All_Diesel_Vehicles	6	450704	2.80185087673
Oahu	All_Diesel_Vehicles	6	450708	3.97958782107
Oahu	All_Diesel_Vehicles	6	450712	3.97958782107
Oahu	All_Diesel_Vehicles	6	450716	24.7990833171
Oahu	All_Diesel_Vehicles	6	450720	82.3123844243
Oahu	All_Gasoline_Vehicles	0	250700	217.147341865
Oahu	All_Gasoline_Vehicles	0	250704	130.856660696
Oahu	All_Gasoline_Vehicles	0	250708	296.854665077
Oahu	All_Gasoline_Vehicles	0	250712	207.04447148
Oahu	All_Gasoline_Vehicles	0	250716	541.414643264
Oahu	All_Gasoline_Vehicles	0	250720	681.606183502
Oahu	All_Gasoline_Vehicles	0	450700	217.147341865
Oahu	All_Gasoline_Vehicles	0	450704	130.856660696
Oahu	All_Gasoline_Vehicles	0	450708	296.854665077
Oahu	All_Gasoline_Vehicles	0	450712	207.04447148
Oahu	All_Gasoline_Vehicles	0	450716	541.414643264
Oahu	All_Gasoline_Vehicles	0	450720	681.606183502
Oahu	All_Gasoline_Vehicles	1	250700	1373.75217303
Oahu	All_Gasoline_Vehicles	1	250704	129.66933685
Oahu	All_Gasoline_Vehicles	1	250708	265.941028614
Oahu	All_Gasoline_Vehicles	1	250712	24.0591112219
Oahu	All_Gasoline_Vehicles	1	250716	59.9638116887
Oahu	All_Gasoline_Vehicles	1	250720	221.53850448
Oahu	All_Gasoline_Vehicles	1	450700	1373.75217303
Oahu	All_Gasoline_Vehicles	1	450704	129.66933685
Oahu	All_Gasoline_Vehicles	1	450708	265.941028614
Oahu	All_Gasoline_Vehicles	1	450712	24.0591112219
Oahu	All_Gasoline_Vehicles	1	450716	59.9638116887
Oahu	All_Gasoline_Vehicles	1	450720	221.53850448
