GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_08	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_08	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_08	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_08	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_09	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_10	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2018	1913497.99691	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_11	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_12	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_13	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_14	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2035	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2040	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_15	2045	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_16	2020	1983364.77893	.	10048.2809785
Oahu_CentralTrackingPV_PV_16	2025	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_16	2030	2018298.16995	.	10048.2809785
Oahu_CentralTrackingPV_PV_16	2035	2018298.16995	.	10048.2809785
