LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2007041900	536.296289441
Oahu	2007041902	487.027072573
Oahu	2007041904	568.20879701
Oahu	2007041906	834.183915197
Oahu	2007041908	932.744868268
Oahu	2007041910	983.28526044
Oahu	2007041912	991.789193223
Oahu	2007041914	1001.57562963
Oahu	2007041916	982.632748958
Oahu	2007041918	1003.75780818
Oahu	2007041920	942.98114214
Oahu	2007041922	715.769078204
Oahu	2008061200	615.056845473
Oahu	2008061202	560.557295683
Oahu	2008061204	622.649753842
Oahu	2008061206	844.15866983
Oahu	2008061208	1021.12794407
Oahu	2008061210	1096.07334865
Oahu	2008061212	1110.35588916
Oahu	2008061214	1088.56056399
Oahu	2008061216	1059.67554646
Oahu	2008061218	1026.70826759
Oahu	2008061220	995.890649333
Oahu	2008061222	781.997534203
Oahu	2008030500	561.860911296
Oahu	2008030502	511.249246061
Oahu	2008030504	589.167882518
Oahu	2008030506	862.84354777
Oahu	2008030508	975.581940104
Oahu	2008030510	1039.32105225
Oahu	2008030512	1061.29937775
Oahu	2008030514	1071.95680878
Oahu	2008030516	1056.22213065
Oahu	2008030518	1112.89444292
Oahu	2008030520	990.264680423
Oahu	2008030522	751.820417096
Oahu	2008062000	614.77096853
Oahu	2008062002	556.863787908
Oahu	2008062004	612.495399227
Oahu	2008062006	846.14836219
Oahu	2008062008	1010.02438867
Oahu	2008062010	1074.63257789
Oahu	2008062012	1090.02428744
Oahu	2008062014	1086.21631722
Oahu	2008062016	1054.78129968
Oahu	2008062018	993.592187541
Oahu	2008062020	965.507709202
Oahu	2008062022	788.05818124
Oahu	2008012500	510.368722741
Oahu	2008012502	459.528341992
Oahu	2008012504	540.84323283
Oahu	2008012506	824.78764535
Oahu	2008012508	900.430642711
Oahu	2008012510	959.469954656
Oahu	2008012512	966.182339704
Oahu	2008012514	953.695254357
Oahu	2008012516	938.200737981
Oahu	2008012518	1010.40183557
Oahu	2008012520	897.228834903
Oahu	2008012522	721.63178395
Oahu	2008032800	558.3617803
Oahu	2008032802	508.722068755
Oahu	2008032804	572.369750529
Oahu	2008032806	790.390911972
Oahu	2008032808	954.232739303
Oahu	2008032810	1022.16843564
Oahu	2008032812	1032.57446805
Oahu	2008032814	1024.35257457
Oahu	2008032816	1000.00738899
Oahu	2008032818	1010.80203537
Oahu	2008032820	912.734797524
Oahu	2008032822	745.153747233
Oahu	2007082200	621.831317279
Oahu	2007082202	566.397775559
Oahu	2007082204	633.271208448
Oahu	2007082206	887.716426781
Oahu	2007082208	1035.54659672
Oahu	2007082210	1113.97238014
Oahu	2007082212	1139.34947442
Oahu	2007082214	1153.96150237
Oahu	2007082216	1135.85115055
Oahu	2007082218	1100.85651488
Oahu	2007082220	1063.09460988
Oahu	2007082222	809.088106649
Oahu	2008010200	536.543632434
Oahu	2008010202	486.446559655
Oahu	2008010204	555.903210669
Oahu	2008010206	760.37383291
Oahu	2008010208	901.139611947
Oahu	2008010210	983.369295046
Oahu	2008010212	982.488771726
Oahu	2008010214	966.14800097
Oahu	2008010216	969.612863026
Oahu	2008010218	1069.80700858
Oahu	2008010220	924.444305961
Oahu	2008010222	720.945707204
Oahu	2007121700	536.015072371
Oahu	2007121702	481.346501497
Oahu	2007121704	564.800481827
Oahu	2007121706	836.399941407
Oahu	2007121708	937.694316156
Oahu	2007121710	988.144630985
Oahu	2007121712	996.614922078
Oahu	2007121714	986.997243371
Oahu	2007121716	973.015207564
Oahu	2007121718	1082.21737061
Oahu	2007121720	956.997094263
Oahu	2007121722	729.334986896
Oahu	2008081600	661.734841175
Oahu	2008081602	582.135281791
Oahu	2008081604	601.677790561
Oahu	2008081606	706.388805783
Oahu	2008081608	935.604953
Oahu	2008081610	1006.42245085
Oahu	2008081612	1011.49955836
Oahu	2008081614	1005.15317397
Oahu	2008081616	995.982219292
Oahu	2008081618	978.280741288
Oahu	2008081620	967.714601036
Oahu	2008081622	814.450290407
Oahu	2008022600	520.808954299
Oahu	2008022602	470.84909687
Oahu	2008022604	548.802002268
Oahu	2008022606	811.91173665
Oahu	2008022608	903.895504767
Oahu	2008022610	963.666678437
Oahu	2008022612	997.411604009
Oahu	2008022614	994.163941428
Oahu	2008022616	992.711803809
Oahu	2008022618	1069.46404
Oahu	2008022620	949.178384691
Oahu	2008022622	696.280236147
Oahu	2008101700	629.019100517
Oahu	2008101702	580.065535513
Oahu	2008101704	646.286039984
Oahu	2008101706	899.698850779
Oahu	2008101708	1031.19072873
Oahu	2008101710	1093.31759541
Oahu	2008101712	1098.4633804
Oahu	2008101714	1081.20774759
Oahu	2008101716	1029.01817563
Oahu	2008101718	1058.81791563
Oahu	2008101720	945.839361534
Oahu	2008101722	768.298333407
Oahu	2007090800	665.869869189
Oahu	2007090802	596.780478747
Oahu	2007090804	613.113588121
Oahu	2007090806	753.958301334
Oahu	2007090808	982.092834154
Oahu	2007090810	1063.84832105
Oahu	2007090812	1075.76063768
Oahu	2007090814	1066.34549568
Oahu	2007090816	1062.43097604
Oahu	2007090818	1091.87995068
Oahu	2007090820	1016.32263629
Oahu	2007090822	850.224547834
Oahu	2007082500	652.3377395
Oahu	2007082502	576.521590065
Oahu	2007082504	590.188767112
Oahu	2007082506	725.037981834
Oahu	2007082508	965.298627651
Oahu	2007082510	1046.60400246
Oahu	2007082512	1033.00438343
Oahu	2007082514	1018.60615185
Oahu	2007082516	1031.65459642
Oahu	2007082518	1026.6152085
Oahu	2007082520	982.486510589
Oahu	2007082522	828.503344122
Oahu	2008012200	537.732855392
Oahu	2008012202	484.079490188
Oahu	2008012204	562.672757147
Oahu	2008012206	847.360477638
Oahu	2008012208	930.653544797
Oahu	2008012210	983.860925219
Oahu	2008012212	994.255511386
Oahu	2008012214	987.554572583
Oahu	2008012216	974.20978661
Oahu	2008012218	1067.88599369
Oahu	2008012220	934.57583788
Oahu	2008012222	703.404267244
Oahu	2007080400	639.030528542
Oahu	2007080402	567.173937417
Oahu	2007080404	585.61054498
Oahu	2007080406	714.272984169
Oahu	2007080408	948.369305134
Oahu	2007080410	1021.96949702
Oahu	2007080412	1022.20567541
Oahu	2007080414	1007.9199032
Oahu	2007080416	1020.06839822
Oahu	2007080418	995.040079025
Oahu	2007080420	983.161541407
Oahu	2007080422	819.59440658
Oahu	2007020500	481.773956936
Oahu	2007020502	439.535166809
Oahu	2007020504	520.874389282
Oahu	2007020506	802.935110121
Oahu	2007020508	882.294553439
Oahu	2007020510	954.994795773
Oahu	2007020512	978.617029621
Oahu	2007020514	982.835285666
Oahu	2007020516	973.926279467
Oahu	2007020518	1073.74707952
Oahu	2007020520	943.971031718
Oahu	2007020522	703.181799421
Oahu	2007122400	585.531795961
Oahu	2007122402	514.068949928
Oahu	2007122404	568.186346331
Oahu	2007122406	753.677084264
Oahu	2007122408	918.852772491
Oahu	2007122410	995.062598361
Oahu	2007122412	982.677787629
Oahu	2007122414	976.974765875
Oahu	2007122416	989.730733706
Oahu	2007122418	976.986025543
Oahu	2007122420	864.701597086
Oahu	2007122422	758.963978905
Oahu	2008111100	608.516014508
Oahu	2008111102	551.352072063
Oahu	2008111104	583.438897404
Oahu	2008111106	754.702009226
Oahu	2008111108	942.134407514
Oahu	2008111110	1015.93637411
Oahu	2008111112	1015.92492786
Oahu	2008111114	1017.38865132
Oahu	2008111116	1025.24454414
Oahu	2008111118	1099.84698013
Oahu	2008111120	964.638632127
Oahu	2008111122	754.690632775
Oahu	2008122300	555.228510373
Oahu	2008122302	491.180698589
Oahu	2008122304	560.694511033
Oahu	2008122306	785.599611608
Oahu	2008122308	931.156691009
Oahu	2008122310	997.525926869
Oahu	2008122312	998.715219622
Oahu	2008122314	989.418495837
Oahu	2008122316	968.526586476
Oahu	2008122318	1044.39829935
Oahu	2008122320	939.21847665
Oahu	2008122322	762.30636384
Oahu	2007020700	548.456112785
Oahu	2007020702	502.561500753
