GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_AES	1992	1943656.25	.	0.0
Oahu_Airport_DSG	2013	557448.223719	.	0.0
Oahu_Battery_Bulk	2020	827731.624263	360.008147044	9082.653125
Oahu_Battery_Bulk	2025	754447.248526	283.250417699	8523.720625
Oahu_Battery_Bulk	2030	681162.872789	256.36	7964.788125
Oahu_Battery_Bulk	2035	607878.497052	243.155976456	7405.855625
Oahu_Battery_Bulk	2040	534594.121315	237.217690359	6846.923125
Oahu_Battery_Bulk	2045	534594.121315	227.111484281	6846.923125
Oahu_Battery_Conting	2020	1016848.40401	0.0	9082.653125
Oahu_Battery_Conting	2025	903242.233574	0.0	8523.720625
Oahu_Battery_Conting	2030	815831.985289	0.0	7964.788125
Oahu_Battery_Conting	2035	735611.370934	0.0	7405.855625
Oahu_Battery_Conting	2040	659207.539282	0.0	6846.923125
Oahu_Battery_Conting	2045	653898.622902	0.0	6846.923125
Oahu_Battery_Reg	2020	1205965.18375	0.0	9082.653125
Oahu_Battery_Reg	2025	1052037.21862	0.0	8523.720625
Oahu_Battery_Reg	2030	950501.097789	0.0	7964.788125
Oahu_Battery_Reg	2035	863344.244816	0.0	7405.855625
Oahu_Battery_Reg	2040	783820.957248	0.0	6846.923125
Oahu_Battery_Reg	2045	773203.124488	0.0	6846.923125
Oahu_CC_152	2020	1704138.03418	.	18165.30625
Oahu_CC_152	2025	1663401.61402	.	18165.30625
Oahu_CC_152	2030	1629483.99378	.	18165.30625
Oahu_CC_152	2035	1604213.3266	.	18165.30625
Oahu_CC_152	2040	1587137.27108	.	18165.30625
Oahu_CC_152	2045	1587596.49867	.	18165.30625
Oahu_CIP_CT	2009	557448.223719	.	0.0
Oahu_CentralTrackingPV_PV_01	2016	3063522.89497	.	14741.7179872
Oahu_CentralTrackingPV_PV_01	2020	1661350.81792	.	8498.74498223
Oahu_CentralTrackingPV_PV_01	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_01	2030	1414802.33601	.	7144.25
Oahu_CentralTrackingPV_PV_01	2035	1353668.90173	.	6850.075
Oahu_CentralTrackingPV_PV_01	2040	1292535.46746	.	6555.9
Oahu_CentralTrackingPV_PV_01	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_02	2020	1661350.81792	.	8498.74498223
Oahu_CentralTrackingPV_PV_02	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_02	2030	1414802.33601	.	7144.25
Oahu_CentralTrackingPV_PV_02	2035	1353668.90173	.	6850.075
Oahu_CentralTrackingPV_PV_02	2040	1292535.46746	.	6555.9
Oahu_CentralTrackingPV_PV_02	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_03	2020	1661350.81792	.	8498.74498223
Oahu_CentralTrackingPV_PV_03	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_03	2030	1414802.33601	.	7144.25
Oahu_CentralTrackingPV_PV_03	2035	1353668.90173	.	6850.075
Oahu_CentralTrackingPV_PV_03	2040	1292535.46746	.	6555.9
Oahu_CentralTrackingPV_PV_03	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_04	2012	3063522.89497	.	0.0
Oahu_CentralTrackingPV_PV_04	2020	1661350.81792	.	8498.74498223
Oahu_CentralTrackingPV_PV_04	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_04	2030	1414802.33601	.	7144.25
Oahu_CentralTrackingPV_PV_04	2035	1353668.90173	.	6850.075
Oahu_CentralTrackingPV_PV_04	2040	1292535.46746	.	6555.9
Oahu_CentralTrackingPV_PV_04	2045	1222668.68544	.	6219.7
Oahu_CentralTrackingPV_PV_05	2018	1834408.19479	.	9667.69966788
Oahu_CentralTrackingPV_PV_05	2020	1661350.81792	.	8498.74498223
Oahu_CentralTrackingPV_PV_05	2025	1503702.22127	.	7572.03757745
Oahu_CentralTrackingPV_PV_05	2030	1414802.33601	.	7144.25
