GENERATION_PROJECT	build_year	gen_overnight_cost	gen_storage_energy_overnight_cost	gen_fixed_om
Oahu_AES	1992	1943656.25	.	0.0
Oahu_Airport_DSG	2013	557448.223719	.	0.0
Oahu_Battery_Bulk	2020	792156.541177	263.880597015	8272.201
Oahu_Battery_Bulk	2025	683297.082355	151.111111111	6902.816375
Oahu_Battery_Bulk	2030	574437.623532	99.0567164179	5533.43175
Oahu_Battery_Bulk	2035	465578.16471	92.9312011684	4164.047125
Oahu_Battery_Bulk	2040	356718.705887	89.0461975336	2794.6625
Oahu_Battery_Bulk	2045	356718.705887	85.2525545665	2794.6625
Oahu_Battery_Conting	2020	930776.317297	0.0	8272.201
Oahu_Battery_Conting	2025	762677.63791	0.0	6902.816375
Oahu_Battery_Conting	2030	626473.354875	0.0	5533.43175
Oahu_Battery_Conting	2035	514396.086323	0.0	4164.047125
Oahu_Battery_Conting	2040	403495.786529	0.0	2794.6625
Oahu_Battery_Conting	2045	401502.938458	0.0	2794.6625
Oahu_Battery_Reg	2020	1069396.09342	0.0	8272.201
Oahu_Battery_Reg	2025	842058.193466	0.0	6902.816375
Oahu_Battery_Reg	2030	678509.086219	0.0	5533.43175
Oahu_Battery_Reg	2035	563214.007937	0.0	4164.047125
Oahu_Battery_Reg	2040	450272.867171	0.0	2794.6625
Oahu_Battery_Reg	2045	446287.171028	0.0	2794.6625
Oahu_CC_152	2020	1704138.03418	.	18165.30625
Oahu_CC_152	2025	1663401.61402	.	18165.30625
Oahu_CC_152	2030	1629483.99378	.	18165.30625
Oahu_CC_152	2035	1604213.3266	.	18165.30625
Oahu_CC_152	2040	1587137.27108	.	18165.30625
Oahu_CC_152	2045	1587596.49867	.	18165.30625
Oahu_CIP_CT	2009	557448.223719	.	0.0
Oahu_CentralTrackingPV_PV_01	2016	3063522.89497	.	14741.7179872
Oahu_CentralTrackingPV_PV_01	2020	1467540.3709	.	7566.12621264
Oahu_CentralTrackingPV_PV_01	2025	1247183.83357	.	6337.66725946
Oahu_CentralTrackingPV_PV_01	2030	1048001.73038	.	5379.2
Oahu_CentralTrackingPV_PV_01	2035	953115.192442	.	4922.60456038
Oahu_CentralTrackingPV_PV_01	2040	841671.589177	.	4386.33627477
Oahu_CentralTrackingPV_PV_01	2045	757845.224436	.	3982.96255397
Oahu_CentralTrackingPV_PV_02	2020	1467540.3709	.	7566.12621264
Oahu_CentralTrackingPV_PV_02	2025	1247183.83357	.	6337.66725946
Oahu_CentralTrackingPV_PV_02	2030	1048001.73038	.	5379.2
Oahu_CentralTrackingPV_PV_02	2035	953115.192442	.	4922.60456038
Oahu_CentralTrackingPV_PV_02	2040	841671.589177	.	4386.33627477
Oahu_CentralTrackingPV_PV_02	2045	757845.224436	.	3982.96255397
Oahu_CentralTrackingPV_PV_03	2020	1467540.3709	.	7566.12621264
Oahu_CentralTrackingPV_PV_03	2025	1247183.83357	.	6337.66725946
Oahu_CentralTrackingPV_PV_03	2030	1048001.73038	.	5379.2
Oahu_CentralTrackingPV_PV_03	2035	953115.192442	.	4922.60456038
Oahu_CentralTrackingPV_PV_03	2040	841671.589177	.	4386.33627477
Oahu_CentralTrackingPV_PV_03	2045	757845.224436	.	3982.96255397
Oahu_CentralTrackingPV_PV_04	2012	3063522.89497	.	0.0
Oahu_CentralTrackingPV_PV_04	2020	1467540.3709	.	7566.12621264
Oahu_CentralTrackingPV_PV_04	2025	1247183.83357	.	6337.66725946
Oahu_CentralTrackingPV_PV_04	2030	1048001.73038	.	5379.2
Oahu_CentralTrackingPV_PV_04	2035	953115.192442	.	4922.60456038
Oahu_CentralTrackingPV_PV_04	2040	841671.589177	.	4386.33627477
Oahu_CentralTrackingPV_PV_04	2045	757845.224436	.	3982.96255397
Oahu_CentralTrackingPV_PV_05	2018	1620518.31851	.	8638.4583844
Oahu_CentralTrackingPV_PV_05	2020	1467540.3709	.	7566.12621264
Oahu_CentralTrackingPV_PV_05	2025	1247183.83357	.	6337.66725946
Oahu_CentralTrackingPV_PV_05	2030	1048001.73038	.	5379.2
