GENERATION_PROJECT	gen_load_zone	gen_tech	gen_connect_cost_per_mw	gen_capacity_limit_mw	gen_unit_size	gen_max_age	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_is_variable	gen_is_baseload	gen_is_cogen	gen_variable_om	gen_energy_source	gen_full_load_heat_rate	gen_min_uptime	gen_min_downtime	gen_startup_fuel	gen_storage_efficiency	gen_storage_energy_to_power_ratio	gen_storage_max_cycles_per_year
Oahu_Kahe_1	Oahu	Kahe_1	0.0	82.1	82.1	59	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	11.3641900122	.	.	.
Oahu_Kahe_2	Oahu	Kahe_2	0.0	82.1	82.1	58	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	11.3641900122	.	.	.
Oahu_Kahe_3	Oahu	Kahe_3	0.0	86.1	86.1	52	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	10.8362369338	.	.	.
Oahu_Kahe_4	Oahu	Kahe_4	0.0	85.3	85.3	50	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	10.937866354	.	.	.
Oahu_Kahe_5	Oahu	Kahe_5	0.0	134.3	134.3	71	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	10.0670141474	.	.	.
Oahu_Kahe_6	Oahu	Kahe_6	0.0	134.4	134.4	64	0.0	0	0	0	0	0.32	multiple	.	3.0	6.0	20.1116071429	.	.	.
Oahu_Kalaeloa_CC1	Oahu	Kalaeloa_CC1	0.0	90.0	90.0	61	0.0	0	0	0	0	6.0	multiple	.	3.0	5.0	8.88888888889	.	.	.
Oahu_Kalaeloa_CC2	Oahu	Kalaeloa_CC2	0.0	90.0	90.0	61	0.0	0	0	0	0	6.0	multiple	.	3.0	5.0	8.88888888889	.	.	.
Oahu_Kalaeloa_CC3	Oahu	Kalaeloa_CC3	0.0	28.0	28.0	61	0.0	0	0	0	0	6.0	multiple	.	1.0	3.0	0.0	.	.	.
Oahu_OffshoreWind_OffWind	Oahu	OffshoreWind	0.0	2400.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_101	Oahu	OnshoreWind	35278.01777	20.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_102	Oahu	OnshoreWind	15288.39355	305.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_103	Oahu	OnshoreWind	27886.92997	100.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_104	Oahu	OnshoreWind	15583.13815	27.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_105	Oahu	OnshoreWind	22754.1423	17.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_106	Oahu	OnshoreWind	14222.96917	60.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_107	Oahu	OnshoreWind	11228.94068	20.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_201	Oahu	OnshoreWind	17939.01925	37.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_202	Oahu	OnshoreWind	26773.2122	220.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_203	Oahu	OnshoreWind	14047.18526	50.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_204	Oahu	OnshoreWind	23895.6873	15.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_205	Oahu	OnshoreWind	26096.72348	20.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_206	Oahu	OnshoreWind	33722.65203	10.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_207	Oahu	OnshoreWind	14503.02419	120.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_208	Oahu	OnshoreWind	10927.41024	82.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_209	Oahu	OnshoreWind	10837.21884	2.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_301	Oahu	OnshoreWind	13168.83803	120.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_302	Oahu	OnshoreWind	25621.82928	52.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_303	Oahu	OnshoreWind	32178.73394	15.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_304	Oahu	OnshoreWind	32717.25432	57.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_305	Oahu	OnshoreWind	26503.75145	170.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_306	Oahu	OnshoreWind	23195.06872	27.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_307	Oahu	OnshoreWind	11080.69012	75.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_308	Oahu	OnshoreWind	17060.97004	32.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_309	Oahu	OnshoreWind	23734.48515	2.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_401	Oahu	OnshoreWind	26395.68424	212.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_402	Oahu	OnshoreWind	30103.25732	52.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_403	Oahu	OnshoreWind	35423.32401	47.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_404	Oahu	OnshoreWind	17598.96303	50.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_405	Oahu	OnshoreWind	9804.339164	45.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_406	Oahu	OnshoreWind	20185.26453	42.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_407	Oahu	OnshoreWind	24253.0924	12.5	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_408	Oahu	OnshoreWind	32151.64396	15.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
Oahu_OnshoreWind_OnWind_409	Oahu	OnshoreWind	27788.58595	50.0	.	25	0.0	0	1	0	0	0.0	WND	.	.	.	.	.	.	.
